,item,RC-licensor,gap,island,ext-type,token,critical,surprisal
0,1,0,0,0,subject,<s>,0,0.0
1,1,0,0,0,subject,教授,0,12.94544792175290
2,1,0,0,0,subject,が,0,4.15436315536499
3,1,0,0,0,subject,推理,0,14.435389518737800
4,1,0,0,0,subject,小説,0,2.629460573196410
5,1,0,0,0,subject,を書いた,0,7.964128494262700
6,1,0,0,0,subject,ことが,0,8.741726875305180
7,1,0,0,0,subject,最近,0,11.60822868347170
8,1,0,0,0,subject,書店,0,13.695743560791000
9,1,0,0,0,subject,で,0,2.0142884254455600
10,1,0,0,0,subject,特集,0,7.586322784423830
11,1,0,0,0,subject,されたので,1,7.018584251403810
12,1,0,0,0,subject,誇,1,17.916250228881800
13,1,0,0,0,subject,らしい,1,3.793499708175660
14,1,0,0,0,subject,。,1,2.627140998840330
15,1,0,0,0,subject,</s>,1,1.047795295715330
0,1,0,0,1,subject,<s>,0,0.0
1,1,0,0,1,subject,教授,0,12.94544792175290
2,1,0,0,1,subject,が,0,4.15436315536499
3,1,0,0,1,subject,書いた,0,8.574875831604000
4,1,0,0,1,subject,推理,0,11.647686004638700
5,1,0,0,1,subject,小説,0,0.2458113580942150
6,1,0,0,1,subject,が,0,4.1108174324035600
7,1,0,0,1,subject,最近,0,10.23448371887210
8,1,0,0,1,subject,書店,0,7.776015281677250
9,1,0,0,1,subject,で,0,2.9997901916503900
10,1,0,0,1,subject,特集,0,10.487751960754400
11,1,0,0,1,subject,されたので,1,8.026097297668460
12,1,0,0,1,subject,誇,1,19.153793334960900
13,1,0,0,1,subject,らしい,1,5.442560195922850
14,1,0,0,1,subject,。,1,2.498880386352540
15,1,0,0,1,subject,</s>,1,1.027881145477300
0,1,1,0,0,subject,<s>,0,0.0
1,1,1,0,0,subject,教授,0,12.94544792175290
2,1,1,0,0,subject,が,0,4.15436315536499
3,1,1,0,0,subject,推理,0,14.435389518737800
4,1,1,0,0,subject,小説,0,2.629460573196410
5,1,1,0,0,subject,を書いた,0,7.964128494262700
6,1,1,0,0,subject,ことが,0,8.741726875305180
7,1,1,0,0,subject,最近,0,11.60822868347170
8,1,1,0,0,subject,書店,0,13.695743560791000
9,1,1,0,0,subject,で,0,2.0142884254455600
10,1,1,0,0,subject,特集,0,7.586322784423830
11,1,1,0,0,subject,された,0,3.9515395164489700
12,1,1,0,0,subject,教授,1,15.816828727722200
13,1,1,0,0,subject,は,1,3.331058979034420
14,1,1,0,0,subject,誇,1,14.860002517700200
15,1,1,0,0,subject,らし,1,0.47359344363212600
16,1,1,0,0,subject,げ,1,0.15036511421203600
17,1,1,0,0,subject,だ,1,6.039755344390870
18,1,1,0,0,subject,。,1,0.40593409538269000
19,1,1,0,0,subject,</s>,1,1.447912335395810
0,1,1,0,1,subject,<s>,0,0.0
1,1,1,0,1,subject,教授,0,12.94544792175290
2,1,1,0,1,subject,が,0,4.15436315536499
3,1,1,0,1,subject,書いた,0,8.574875831604000
4,1,1,0,1,subject,推理,0,11.647686004638700
5,1,1,0,1,subject,小説,0,0.2458113580942150
6,1,1,0,1,subject,が,0,4.1108174324035600
7,1,1,0,1,subject,最近,0,10.23448371887210
8,1,1,0,1,subject,書店,0,7.776015281677250
9,1,1,0,1,subject,で,0,2.9997901916503900
10,1,1,0,1,subject,特集,0,10.487751960754400
11,1,1,0,1,subject,された,0,5.625929355621340
12,1,1,0,1,subject,教授,1,19.408775329589800
13,1,1,0,1,subject,は,1,3.553673267364500
14,1,1,0,1,subject,誇,1,15.317649841308600
15,1,1,0,1,subject,らし,1,0.8341186046600340
16,1,1,0,1,subject,げ,1,0.1442122608423230
17,1,1,0,1,subject,だ,1,6.087745666503910
18,1,1,0,1,subject,。,1,0.7646210789680480
19,1,1,0,1,subject,</s>,1,1.4248170852661100
0,1,0,1,0,subject,<s>,0,0.0
1,1,0,1,0,subject,推理,0,13.967514991760300
2,1,0,1,0,subject,小説,0,1.3026103973388700
3,1,0,1,0,subject,を書いた,0,9.889883041381840
4,1,0,1,0,subject,ことが,0,5.861209869384770
5,1,0,1,0,subject,最近,0,14.248275756835900
6,1,0,1,0,subject,書店,0,14.449138641357400
7,1,0,1,0,subject,で,0,2.7233686447143600
8,1,0,1,0,subject,特集,0,8.017789840698240
9,1,0,1,0,subject,された,0,5.052184581756590
10,1,0,1,0,subject,誇,1,21.93688201904300
11,1,0,1,0,subject,らし,1,2.6330296993255600
12,1,0,1,0,subject,げ,1,0.05955277755856510
13,1,0,1,0,subject,だ,1,14.418095588684100
14,1,0,1,0,subject,。,1,0.52312171459198
15,1,0,1,0,subject,</s>,1,1.3117680549621600
0,1,0,1,1,subject,<s>,0,0.0
1,1,0,1,1,subject,書いた,0,14.973271369934100
2,1,0,1,1,subject,推理,0,15.975642204284700
3,1,0,1,1,subject,小説,0,0.6650637984275820
4,1,0,1,1,subject,が,0,3.0750277042388900
5,1,0,1,1,subject,最近,0,13.065860748291000
6,1,0,1,1,subject,書店,0,10.953047752380400
7,1,0,1,1,subject,で,0,3.050342082977300
8,1,0,1,1,subject,特集,0,10.868453025817900
9,1,0,1,1,subject,された,0,5.483150959014890
10,1,0,1,1,subject,誇,1,22.880599975585900
11,1,0,1,1,subject,らし,1,1.9407540559768700
12,1,0,1,1,subject,げ,1,0.16378802061080900
13,1,0,1,1,subject,だ,1,13.812798500061000
14,1,0,1,1,subject,。,1,0.4645320177078250
15,1,0,1,1,subject,</s>,1,1.1710036993026700
0,1,1,1,0,subject,<s>,0,0.0
1,1,1,1,0,subject,推理,0,13.967514991760300
2,1,1,1,0,subject,小説,0,1.3026103973388700
3,1,1,1,0,subject,を書いた,0,9.889883041381840
4,1,1,1,0,subject,ことが,0,5.861209869384770
5,1,1,1,0,subject,最近,0,14.248275756835900
6,1,1,1,0,subject,書店,0,14.449138641357400
7,1,1,1,0,subject,で,0,2.7233686447143600
8,1,1,1,0,subject,特集,0,8.017789840698240
9,1,1,1,0,subject,された,0,5.052184581756590
10,1,1,1,0,subject,教授,1,18.65589141845700
11,1,1,1,0,subject,は,1,5.437986850738530
12,1,1,1,0,subject,誇,1,13.135563850402800
13,1,1,1,0,subject,らし,1,0.1719551384449010
14,1,1,1,0,subject,げ,1,0.14174672961235000
15,1,1,1,0,subject,だ,1,6.776700019836430
16,1,1,1,0,subject,。,1,0.21463985741138500
17,1,1,1,0,subject,</s>,1,1.6828984022140500
0,1,1,1,1,subject,<s>,0,0.0
1,1,1,1,1,subject,書いた,0,14.973271369934100
2,1,1,1,1,subject,推理,0,15.975642204284700
3,1,1,1,1,subject,小説,0,0.6650637984275820
4,1,1,1,1,subject,が,0,3.0750277042388900
5,1,1,1,1,subject,最近,0,13.065860748291000
6,1,1,1,1,subject,書店,0,10.953047752380400
7,1,1,1,1,subject,で,0,3.050342082977300
8,1,1,1,1,subject,特集,0,10.868453025817900
9,1,1,1,1,subject,された,0,5.483150959014890
10,1,1,1,1,subject,教授,1,19.375150680542000
11,1,1,1,1,subject,は,1,4.21157169342041
12,1,1,1,1,subject,誇,1,13.17386531829830
13,1,1,1,1,subject,らし,1,0.15592360496521000
14,1,1,1,1,subject,げ,1,0.201277494430542
15,1,1,1,1,subject,だ,1,6.3015875816345200
16,1,1,1,1,subject,。,1,0.23620234429836300
17,1,1,1,1,subject,</s>,1,1.339659571647640
0,2,0,0,0,subject,アイドル,0,0.0
1,2,0,0,0,subject,が,0,4.838210582733150
2,2,0,0,0,subject,大学に,0,14.882418632507300
3,2,0,0,0,subject,受,0,4.540512561798100
4,2,0,0,0,subject,かった,0,1.4225854873657200
5,2,0,0,0,subject,ことが,0,6.954075813293460
6,2,0,0,0,subject,今朝,0,17.937416076660200
7,2,0,0,0,subject,事務所,0,11.016289710998500
8,2,0,0,0,subject,から,0,1.7822190523147600
9,2,0,0,0,subject,公表,0,8.210220336914060
10,2,0,0,0,subject,されたので,1,6.417490005493160
11,2,0,0,0,subject,嬉しい,1,10.239543914794900
12,2,0,0,0,subject,。,1,1.676836371421810
13,2,0,0,0,subject,</s>,1,1.102273941040040
0,2,0,0,1,subject,アイドル,0,0.0
1,2,0,0,1,subject,が,0,4.838210582733150
2,2,0,0,1,subject,受,0,13.949554443359400
3,2,0,0,1,subject,かった,0,5.329800128936770
4,2,0,0,1,subject,大学,0,8.660710334777830
5,2,0,0,1,subject,が今,0,13.409214973449700
6,2,0,0,1,subject,朝,0,9.118086814880370
7,2,0,0,1,subject,事務所,0,12.557138442993200
8,2,0,0,1,subject,から,0,3.683306932449340
9,2,0,0,1,subject,公表,0,8.205110549926760
10,2,0,0,1,subject,されたので,1,6.729694843292240
11,2,0,0,1,subject,嬉しい,1,11.980814933776900
12,2,0,0,1,subject,。,1,1.8451316356658900
13,2,0,0,1,subject,</s>,1,1.0104516744613600
0,2,1,0,0,subject,アイドル,0,0.0
1,2,1,0,0,subject,が,0,4.838210582733150
2,2,1,0,0,subject,大学に,0,14.882418632507300
3,2,1,0,0,subject,受,0,4.540512561798100
4,2,1,0,0,subject,かった,0,1.4225854873657200
5,2,1,0,0,subject,ことが,0,6.954075813293460
6,2,1,0,0,subject,今朝,0,17.937416076660200
7,2,1,0,0,subject,事務所,0,11.016289710998500
8,2,1,0,0,subject,から,0,1.7822190523147600
