,item,RC-licensor,gap,island,ext-type,token,critical,surprisal
0,1,0,0,0,subject,教授,0,0.0
1,1,0,0,0,subject,が,0,5.287289619445800
2,1,0,0,0,subject,推理小説,0,16.522769927978500
3,1,0,0,0,subject,を書いた,0,7.909674167633060
4,1,0,0,0,subject,ことが,0,6.856775760650640
5,1,0,0,0,subject,最近,0,13.505764961242700
6,1,0,0,0,subject,書店,0,15.836051940918000
7,1,0,0,0,subject,で,0,2.102558135986330
8,1,0,0,0,subject,特集,0,9.678088188171390
9,1,0,0,0,subject,された,0,1.7845566272735600
10,1,0,0,0,subject,の,1,5.870421409606930
11,1,0,0,0,subject,で,1,2.577036142349240
12,1,0,0,0,subject,誇,1,17.678726196289100
13,1,0,0,0,subject,らしい,1,3.346325635910030
14,1,0,0,0,subject,。,1,4.664207935333250
0,1,0,0,1,subject,教授,0,0.0
1,1,0,0,1,subject,が,0,5.287289619445800
2,1,0,0,1,subject,書いた,0,9.034931182861330
3,1,0,0,1,subject,推理小説,0,13.422971725463900
4,1,0,0,1,subject,が,0,5.775975227355960
5,1,0,0,1,subject,最近,0,14.306816101074200
6,1,0,0,1,subject,書店,0,11.79955768585210
7,1,0,0,1,subject,で,0,1.5464556217193600
8,1,0,0,1,subject,特集,0,10.48435115814210
9,1,0,0,1,subject,された,0,2.391155958175660
10,1,0,0,1,subject,の,1,5.330435752868650
11,1,0,0,1,subject,で,1,3.084334135055540
12,1,0,0,1,subject,誇,1,18.897296905517600
13,1,0,0,1,subject,らしい,1,3.449958324432370
14,1,0,0,1,subject,。,1,4.735084056854250
0,1,1,0,0,subject,教授,0,0.0
1,1,1,0,0,subject,が,0,5.287289619445800
2,1,1,0,0,subject,推理小説,0,16.522769927978500
3,1,1,0,0,subject,を書いた,0,7.909674167633060
4,1,1,0,0,subject,ことが,0,6.856775760650640
5,1,1,0,0,subject,最近,0,13.505764961242700
6,1,1,0,0,subject,書店,0,15.836051940918000
7,1,1,0,0,subject,で,0,2.102558135986330
8,1,1,0,0,subject,特集,0,9.678088188171390
9,1,1,0,0,subject,された,0,1.7845566272735600
10,1,1,0,0,subject,教授,1,21.050352096557600
11,1,1,0,0,subject,は,1,6.443145751953130
12,1,1,0,0,subject,誇,1,14.21440315246580
13,1,1,0,0,subject,ら,1,2.9562909603118900
14,1,1,0,0,subject,しげ,1,0.025379136204719500
15,1,1,0,0,subject,だ,1,7.2850518226623500
16,1,1,0,0,subject,。,1,5.021468162536620
0,1,1,0,1,subject,教授,0,0.0
1,1,1,0,1,subject,が,0,5.287289619445800
2,1,1,0,1,subject,書いた,0,9.034931182861330
3,1,1,0,1,subject,推理小説,0,13.422971725463900
4,1,1,0,1,subject,が,0,5.775975227355960
5,1,1,0,1,subject,最近,0,14.306816101074200
6,1,1,0,1,subject,書店,0,11.79955768585210
7,1,1,0,1,subject,で,0,1.5464556217193600
8,1,1,0,1,subject,特集,0,10.48435115814210
9,1,1,0,1,subject,された,0,2.391155958175660
10,1,1,0,1,subject,教授,1,21.699819564819300
11,1,1,0,1,subject,は,1,5.784678936004640
12,1,1,0,1,subject,誇,1,16.80812644958500
13,1,1,0,1,subject,ら,1,3.4806509017944300
14,1,1,0,1,subject,しげ,1,0.013907205313444100
15,1,1,0,1,subject,だ,1,10.605507850647000
16,1,1,0,1,subject,。,1,2.533993721008300
0,1,0,1,0,subject,推理小説,0,0.0
1,1,0,1,0,subject,を書いた,0,13.121781349182100
2,1,0,1,0,subject,ことが,0,7.3147454261779800
3,1,0,1,0,subject,最近,0,15.192888259887700
4,1,0,1,0,subject,書店,0,15.905263900756800
5,1,0,1,0,subject,で,0,1.456838846206670
6,1,0,1,0,subject,特集,0,10.419572830200200
7,1,0,1,0,subject,された,0,1.7019870281219500
8,1,0,1,0,subject,誇,1,29.580345153808600
9,1,0,1,0,subject,ら,1,5.432045936584470
10,1,0,1,0,subject,しげ,1,0.007019643671810630
11,1,0,1,0,subject,だ,1,10.092338562011700
12,1,0,1,0,subject,。,1,2.198734998703000
0,1,0,1,1,subject,書いた,0,0.0
1,1,0,1,1,subject,推理小説,0,14.812744140625
2,1,0,1,1,subject,が,0,6.6011481285095200
3,1,0,1,1,subject,最近,0,13.328988075256300
4,1,0,1,1,subject,書店,0,12.056663513183600
5,1,0,1,1,subject,で,0,1.041192650794980
6,1,0,1,1,subject,特集,0,10.509064674377400
7,1,0,1,1,subject,された,0,2.2165138721466100
8,1,0,1,1,subject,誇,1,30.197301864624000
9,1,0,1,1,subject,ら,1,5.704455375671390
10,1,0,1,1,subject,しげ,1,0.0033460943959653400
11,1,0,1,1,subject,だ,1,10.161226272583000
12,1,0,1,1,subject,。,1,1.339852213859560
0,1,1,1,0,subject,推理小説,0,0.0
1,1,1,1,0,subject,を書いた,0,13.121781349182100
2,1,1,1,0,subject,ことが,0,7.3147454261779800
3,1,1,1,0,subject,最近,0,15.192888259887700
4,1,1,1,0,subject,書店,0,15.905263900756800
5,1,1,1,0,subject,で,0,1.456838846206670
6,1,1,1,0,subject,特集,0,10.419572830200200
7,1,1,1,0,subject,された,0,1.7019870281219500
8,1,1,1,0,subject,教授,1,22.06256675720220
9,1,1,1,0,subject,は,1,6.384451389312740
10,1,1,1,0,subject,誇,1,13.018200874328600
11,1,1,1,0,subject,ら,1,3.3873565196991000
12,1,1,1,0,subject,しげ,1,0.050557397305965400
13,1,1,1,0,subject,だ,1,5.982950210571290
14,1,1,1,0,subject,。,1,4.712068557739260
0,1,1,1,1,subject,書いた,0,0.0
1,1,1,1,1,subject,推理小説,0,14.812744140625
2,1,1,1,1,subject,が,0,6.6011481285095200
3,1,1,1,1,subject,最近,0,13.328988075256300
4,1,1,1,1,subject,書店,0,12.056663513183600
5,1,1,1,1,subject,で,0,1.041192650794980
6,1,1,1,1,subject,特集,0,10.509064674377400
7,1,1,1,1,subject,された,0,2.2165138721466100
8,1,1,1,1,subject,教授,1,23.02376937866210
9,1,1,1,1,subject,は,1,4.909469127655030
10,1,1,1,1,subject,誇,1,15.604933738708500
11,1,1,1,1,subject,ら,1,3.710538148880010
12,1,1,1,1,subject,しげ,1,0.01474923174828290
13,1,1,1,1,subject,だ,1,8.967900276184080
14,1,1,1,1,subject,。,1,2.9586987495422400
0,2,0,0,0,subject,アイドル,0,0.0
1,2,0,0,0,subject,が,0,5.124414443969730
2,2,0,0,0,subject,大学,0,13.662200927734400
3,2,0,0,0,subject,に,0,3.3441600799560500
4,2,0,0,0,subject,受,0,9.070394515991210
5,2,0,0,0,subject,かった,0,4.741692543029790
6,2,0,0,0,subject,ことが,0,5.009768009185790
7,2,0,0,0,subject,今,0,11.57814884185790
8,2,0,0,0,subject,朝,0,12.47626781463620
9,2,0,0,0,subject,事務所,0,9.377544403076170
10,2,0,0,0,subject,から,0,4.145278453826900
11,2,0,0,0,subject,公表された,0,7.491936206817630
12,2,0,0,0,subject,の,1,5.861516952514650
13,2,0,0,0,subject,で,1,2.418062210083010
14,2,0,0,0,subject,嬉,1,8.642955780029300
15,2,0,0,0,subject,しい,1,1.8728498220443700
16,2,0,0,0,subject,。,1,3.468170404434200
0,2,0,0,1,subject,アイドル,0,0.0
1,2,0,0,1,subject,が,0,5.124414443969730
2,2,0,0,1,subject,受,0,13.63239574432370
3,2,0,0,1,subject,かった,0,5.611475944519040
4,2,0,0,1,subject,大学,0,12.495878219604500
5,2,0,0,1,subject,が,0,5.547660827636720
6,2,0,0,1,subject,今,0,9.302044868469240
7,2,0,0,1,subject,朝,0,10.702723503112800
8,2,0,0,1,subject,事務所,0,11.655741691589400
9,2,0,0,1,subject,から,0,4.923433780670170
10,2,0,0,1,subject,公表された,0,13.670581817627000
11,2,0,0,1,subject,の,1,3.8043649196624800
12,2,0,0,1,subject,で,1,3.4219002723693800
13,2,0,0,1,subject,嬉,1,8.738570213317870
14,2,0,0,1,subject,しい,1,1.9826503992080700
15,2,0,0,1,subject,。,1,3.651059627532960
0,2,1,0,0,subject,アイドル,0,0.0
1,2,1,0,0,subject,が,0,5.124414443969730
2,2,1,0,0,subject,大学,0,13.662200927734400
3,2,1,0,0,subject,に,0,3.3441600799560500
4,2,1,0,0,subject,受,0,9.070394515991210
5,2,1,0,0,subject,かった,0,4.741692543029790
6,2,1,0,0,subject,ことが,0,5.009768009185790
7,2,1,0,0,subject,今,0,11.57814884185790
8,2,1,0,0,subject,朝,0,12.47626781463620
9,2,1,0,0,subject,事務所,0,9.377544403076170
10,2,1,0,0,subject,から,0,4.145278453826900
11,2,1,0,0,subject,公表された,0,7.491936206817630
12,2,1,0,0,subject,アイドル,1,16.146785736084000
13,2,1,0,0,subject,は,1,3.997513771057130
14,2,1,0,0,subject,多,1,11.977887153625500
15,2,1,0,0,subject,才,1,9.44858169555664
16,2,1,0,0,subject,だ,1,5.549648761749270
17,2,1,0,0,subject,。,1,3.8421790599823
0,2,1,0,1,subject,アイドル,0,0.0
1,2,1,0,1,subject,が,0,5.124414443969730
2,2,1,0,1,subject,受,0,13.63239574432370
3,2,1,0,1,subject,かった,0,5.611475944519040
4,2,1,0,1,subject,大学,0,12.495878219604500
5,2,1,0,1,subject,が,0,5.547660827636720
6,2,1,0,1,subject,今,0,9.302044868469240
7,2,1,0,1,subject,朝,0,10.702723503112800
8,2,1,0,1,subject,事務所,0,11.655741691589400
9,2,1,0,1,subject,から,0,4.923433780670170
10,2,1,0,1,subject,公表された,0,13.670581817627000
11,2,1,0,1,subject,アイドル,1,12.65573501586910
12,2,1,0,1,subject,は,1,3.004239797592160
13,2,1,0,1,subject,多,1,12.510016441345200
14,2,1,0,1,subject,才,1,9.961305618286130
15,2,1,0,1,subject,だ,1,5.606574058532720
16,2,1,0,1,subject,。,1,3.090812921524050
0,2,0,1,0,subject,大学,0,0.0
1,2,0,1,0,subject,に,0,6.366915225982670
2,2,0,1,0,subject,受,0,10.276321411132800
3,2,0,1,0,subject,かった,0,4.834404945373540
4,2,0,1,0,subject,ことが,0,9.289754867553710
5,2,0,1,0,subject,今,0,12.238828659057600
6,2,0,1,0,subject,朝,0,11.310741424560500
7,2,0,1,0,subject,事務所,0,10.923380851745600
8,2,0,1,0,subject,から,0,4.675119876861570
9,2,0,1,0,subject,公表された,0,6.329501628875730
10,2,0,1,0,subject,多,1,21.956514358520500
11,2,0,1,0,subject,才,1,7.978855609893800
12,2,0,1,0,subject,だ,1,12.248360633850100
13,2,0,1,0,subject,。,1,1.8904608488082900
0,2,0,1,1,subject,受,0,0.0
1,2,0,1,1,subject,かった,0,10.833711624145500
2,2,0,1,1,subject,大学,0,13.193848609924300
3,2,0,1,1,subject,が,0,5.7953314781189000
4,2,0,1,1,subject,今,0,10.698467254638700
5,2,0,1,1,subject,朝,0,8.52145004272461
6,2,0,1,1,subject,事務所,0,12.762645721435500
7,2,0,1,1,subject,から,0,5.393526077270510
8,2,0,1,1,subject,公表された,0,14.77790641784670
9,2,0,1,1,subject,多,1,16.96753692626950
10,2,0,1,1,subject,才,1,9.257601737976070
11,2,0,1,1,subject,だ,1,12.63755989074710
12,2,0,1,1,subject,。,1,1.4372824430465700
0,2,1,1,0,subject,大学,0,0.0
1,2,1,1,0,subject,に,0,6.366915225982670
2,2,1,1,0,subject,受,0,10.276321411132800
3,2,1,1,0,subject,かった,0,4.834404945373540
4,2,1,1,0,subject,ことが,0,9.289754867553710
5,2,1,1,0,subject,今,0,12.238828659057600
6,2,1,1,0,subject,朝,0,11.310741424560500
7,2,1,1,0,subject,事務所,0,10.923380851745600
8,2,1,1,0,subject,から,0,4.675119876861570
9,2,1,1,0,subject,公表された,0,6.329501628875730
10,2,1,1,0,subject,アイドル,1,18.731346130371100
11,2,1,1,0,subject,は,1,5.2497944831848100
12,2,1,1,0,subject,多,1,12.45893383026120
13,2,1,1,0,subject,才,1,9.686264038085940
14,2,1,1,0,subject,だ,1,6.705196380615230
15,2,1,1,0,subject,。,1,2.8875722885131800
0,2,1,1,1,subject,受,0,0.0
1,2,1,1,1,subject,かった,0,10.833711624145500
2,2,1,1,1,subject,大学,0,13.193848609924300
3,2,1,1,1,subject,が,0,5.7953314781189000
4,2,1,1,1,subject,今,0,10.698467254638700
5,2,1,1,1,subject,朝,0,8.52145004272461
6,2,1,1,1,subject,事務所,0,12.762645721435500
7,2,1,1,1,subject,から,0,5.393526077270510
8,2,1,1,1,subject,公表された,0,14.77790641784670
9,2,1,1,1,subject,アイドル,1,17.226112365722700
10,2,1,1,1,subject,は,1,4.098957538604740
11,2,1,1,1,subject,多,1,13.440390586853000
12,2,1,1,1,subject,才,1,10.12902545928960
13,2,1,1,1,subject,だ,1,6.950007438659670
14,2,1,1,1,subject,。,1,2.342308759689330
0,3,0,0,0,subject,営業,0,0.0
1,3,0,0,0,subject,マン,0,12.034317970275900
2,3,0,0,0,subject,が,0,3.380770206451420
3,3,0,0,0,subject,契約,0,10.797210693359400
4,3,0,0,0,subject,を取った,0,15.228232383728000
5,3,0,0,0,subject,ことが,0,6.933893203735350
6,3,0,0,0,subject,今,0,12.674912452697800
7,3,0,0,0,subject,朝,0,10.747774124145500
8,3,0,0,0,subject,朝,0,12.86929702758790
9,3,0,0,0,subject,礼,0,17.995410919189500
10,3,0,0,0,subject,で,0,3.235363721847530
11,3,0,0,0,subject,発表された,0,4.734646797180180
12,3,0,0,0,subject,の,1,8.0265474319458
13,3,0,0,0,subject,で,1,2.114877462387090
14,3,0,0,0,subject,羨,1,16.321855545043900
15,3,0,0,0,subject,ましい,1,7.497191429138180
